price,bdrms,lotsize,sqrft,colonial
300,4,6126,2438,1
370,3,9903,2076,1
191,3,5200,1374,0
195,3,4600,1448,1
373,4,6095,2514,1
466.275,5,8566,2754,1
332.5,3,9000,2067,1
315,3,6210,1731,1
206,3,6000,1767,0
240,3,2892,1890,0
285,4,6000,2336,1
300,5,7047,2634,1
405,3,12237,3375,1
212,3,6460,1899,0
265,3,6519,2312,1
227.4,4,3597,1760,1
240,4,5922,2000,0
285,3,7123,1774,1
268,3,5642,1376,1
310,4,8602,1835,1
266,3,5494,2048,1
270,3,7800,2124,1
225,3,6003,1768,0
150,4,5218,1732,0
247,3,9425,1440,1
275,3,6114,1932,0
230,3,6710,1932,0
343,3,8577,2106,1
477.5,7,8400,3529,1
350,4,9773,2051,1
230,4,4806,1573,1
335,4,15086,2829,0
251,3,5763,1630,1
235,4,6383,1840,1
361,4,9000,2066,1
190,4,3500,1702,0
360,4,10892,2750,1
575,5,15634,3880,1
209,4,6400,1854,1
225,2,8880,1421,0
246,3,6314,1662,1
713.5,5,28231,3331,1
248,4,7050,1656,1
230,3,5305,1171,0
375,5,6637,2293,1
265,3,7834,1764,1
313,3,1000,2768,0
417.5,4,8112,3733,0
253,3,5850,1536,1
315,4,6660,1638,1
264,3,6637,1972,1
255,2,15267,1478,0
210,3,5146,1408,1
180,3,6017,1812,1
250,3,8410,1722,1
250,4,5625,1780,1
209,4,5600,1674,1
258,4,6525,1850,1
289,3,6060,1925,1
316,4,5539,2343,0
225,3,7566,1567,0
266,4,5484,1664,1
310,6,5348,1386,1
471.25,5,15834,2617,1
335,4,8022,2321,1
495,4,11966,2638,1
279.5,4,8460,1915,1
380,4,15105,2589,1
325,4,10859,2709,0
220,3,6300,1587,1
215,3,11554,1694,0
240,3,6000,1536,1
725,5,31000,3662,0
230,3,4054,1736,1
306,2,20700,2205,0
425,3,5525,1502,0
318,4,92681,1696,1
330,3,8178,2186,1
246,4,5944,1928,1
225,3,18838,1294,0
111,4,4315,1535,1
268.125,3,5167,1980,1
244,4,7893,2090,1
295,3,6056,1837,1
236,3,5828,1715,0
202.5,3,6341,1574,0
219,2,6362,1185,0
242,4,4950,1774,1
315,4,6660,1638,1
264,3,6637,1972,1
255,2,15267,1478,0
210,3,5146,1408,1
180,3,6017,1812,1
250,3,8410,1722,1
250,4,5625,1780,1
209,4,5600,1674,1
258,4,6525,1850,1
289,3,6060,1925,1
316,4,5539,2343,0
225,3,7566,1567,0
266,4,5484,1664,1
